,배우명,드라마명,역할,성별,장르,방영요일,방송사,나이,방영년도,가중평점,결혼여부
1339,손예진,"서른, 아홉",주연,여자,"['drama', 'romance']","['wednesday', ' thursday']","['JTBC', ' NETFLIX']",41,2022,7.88,기혼
1340,손예진,사랑의 불시착,주연,여자,"['romance', 'comedy', 'hist_war', 'society']","['sunday', ' saturday']","['NETFLIX', ' TVN']",38,2019,8.86,기혼
1341,손예진,밥 잘 사주는 예쁜 누나,주연,여자,"['drama', 'romance']","['friday', ' saturday']","['JTBC', ' NETFLIX']",37,2018,7.92,기혼
1342,연우진,"서른, 아홉",조연,남자,"['drama', 'romance']","['wednesday', ' thursday']","['JTBC', ' NETFLIX']",39,2022,7.88,미혼
1343,연우진,언더커버,주연,남자,"['thriller', 'action']","['friday', ' saturday']",['JTBC'],38,2021,7.73,미혼
1344,연우진,너의 노래를 들려줘,주연,남자,"['thriller', 'comedy', 'romance', 'music']","['monday', ' tuesday']",['KBS2'],36,2019,7.65,미혼
1345,연우진,프리스트,주연,남자,"['drama', 'thriller', 'romance']","['saturday', ' sunday']",['OCN'],35,2018,7.74,미혼
1346,연우진,이판사판,주연,남자,"['romance', 'comedy', 'society', 'drama']","['wednesday', ' thursday']",['SBS'],34,2017,7.7,미혼
1347,연우진,7일의 왕비,주연,남자,"['romance', 'society', 'hist_war']","['wednesday', ' thursday']",['KBS2'],34,2017,7.96,미혼
1348,연우진,내성적인 보스,주연,남자,"['romance', 'comedy', 'society', 'drama']","['monday', ' tuesday']",['TVN'],34,2017,7.85,미혼
1349,연우진,이혼변호사는 연애중,주연,남자,"['romance', 'comedy', 'society']","['saturday', ' sunday']",['SBS'],32,2015,7.63,미혼
